;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
2089;Diseno;Yes;Basic;No;No;No;Very Low;Low Failure;Low;Low;Very Low;Dropout
2090;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
2091;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Enrolled
2092;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Satisfactory;High;High;Low;Graduate
2093;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
2094;Ciencias Sociales;Yes;Basic;Yes;No;No;Low;Superior;High;High;Low;Dropout
2095;Ciencias Agrarias;Yes;Basic;No;Yes;No;Medium High;Basic;Superior;Medium;Very Low;Graduate
2096;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
2097;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Basic;High;Low;Medium;Graduate
2098;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
2099;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Low;Low;Dropout
2100;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
2101;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Graduate
2102;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Graduate
2103;Ciencias Sociales;Yes;Basic;Yes;No;No;Low;Low Failure;Low;Medium;Medium;Dropout
2104;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Low;Low;Graduate
2105;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Superior;Low;Low;Enrolled
2106;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Low;Very Low;Enrolled
2107;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
2108;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Enrolled
2109;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
2110;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Enrolled
2111;Ciencias Agrarias;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
2112;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;High;High;Low;Graduate
2113;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
2114;Ciencias Sociales;Yes;Satisfactory;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Dropout
2115;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;High;Dropout
2116;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
2117;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Dropout
2118;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
2119;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;Low;Medium;Enrolled
2120;Ciencias de la Salud;Yes;Low Failure;Yes;No;Yes;Medium Low;Basic;Superior;Medium;Very Low;Dropout
2121;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
2122;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Low;Very Low;Graduate
2123;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Superior;Low;Low;Dropout
2124;Diseno;Yes;Satisfactory;No;Yes;No;Very Low;Failure;High;Low;Medium;Graduate
2125;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Failure;Medium;Medium;Medium;Dropout
2126;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Low;Low;Dropout
2127;Ciencias de la Salud;Yes;Basic;Yes;No;No;Low;Basic;Low;Low;Very Low;Dropout
2128;Diseno;Yes;Satisfactory;Yes;Yes;Yes;Very Low;Failure;Medium;Low;High;Dropout
2129;Diseno;Yes;Superior;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
2130;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Enrolled
2131;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Basic;Superior;Low;Low;Graduate
2132;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
2133;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Low;Low;Graduate
2134;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
2135;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
2136;Diseno;Yes;Basic;Yes;No;No;Low;Low Failure;Low;Medium;Medium;Graduate
2137;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
2138;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;Superior;Medium;Very Low;Graduate
2139;Ciencias Exactas;Yes;Low Failure;No;No;Yes;Low;Basic;Low;Low;Very Low;Dropout
2140;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Enrolled
2141;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
2142;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Low;High;Graduate
2143;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;High;Low;Graduate
2144;Ciencias Sociales;No;Low Failure;No;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Graduate
2145;Ciencias Agrarias;Yes;Basic;Yes;No;No;Low;Basic;Low;Medium;High;Enrolled
2146;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Medium;Very Low;Graduate
2147;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;High;Graduate
2148;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Medium;Medium;Medium;Graduate
2149;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Basic;Superior;Low;Low;Graduate
2150;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
2151;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
2152;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Graduate
2153;Ciencias Sociales;Yes;Basic;No;Yes;No;Medium Low;Basic;Low;Medium;Medium;Graduate
2154;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;High;Graduate
2155;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;Superior;Medium;Very Low;Graduate
2156;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Enrolled
2157;Ciencias de la Salud;Yes;Satisfactory;Yes;Yes;No;Low;Satisfactory;Superior;Low;Low;Graduate
2158;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
2159;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Low;Medium;Medium;Dropout
2160;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;Medium;Medium;Medium;Graduate
2161;Diseno;Yes;Basic;Yes;No;No;Low;Low Failure;Low;Medium;Medium;Dropout
2162;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Very Low;Failure;Low;Medium;High;Dropout
2163;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
2164;Ciencias Sociales;Yes;Satisfactory;Yes;Yes;No;Very Low;Satisfactory;High;High;Low;Graduate
2165;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
2166;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Medium;Medium;Medium;Graduate
2167;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
2168;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Low;Low;Graduate
2169;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Superior;Low;Low;Graduate
2170;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
2171;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
2172;Diseno;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
2173;Ciencias de la Salud;Yes;Basic;No;No;No;Very Low;Basic;Low;Medium;Medium;Dropout
2174;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
2175;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Graduate
2176;Diseno;Yes;Satisfactory;Yes;Yes;No;Very Low;Satisfactory;Superior;Medium;Very Low;Graduate
2177;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
2178;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;Superior;Low;Low;Graduate
2179;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
2180;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
2181;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
2182;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;Superior;Low;Low;Graduate
2183;Ciencias Sociales;Yes;Basic;No;Yes;No;Medium Low;Basic;Medium;Medium;Medium;Dropout
2184;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
2185;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
2186;Diseno;Yes;Basic;No;Yes;Yes;Low;Low Failure;High;Low;Medium;Enrolled
2187;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
2188;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Low;Low;Very Low;Graduate
2189;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;High;Low;Dropout
2190;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;Low;Medium;Medium;Enrolled
2191;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
2192;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Superior;Low;Medium;High;Dropout
2193;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Enrolled
2194;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;High;Low;Medium;Graduate
2195;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Enrolled
2196;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Enrolled
2197;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;High;Low;Medium;Enrolled
2198;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;High;Low;Dropout
2199;Ciencias de la Salud;Yes;Basic;No;Yes;No;Medium Low;Failure;Medium;Low;High;Dropout
2200;Ciencias Sociales;No;Basic;Yes;No;No;Low;Basic;High;Low;Medium;Dropout
2201;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Graduate
2202;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Graduate
2203;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
2204;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;Superior;Low;Low;Graduate
2205;Ciencias Exactas;Yes;Satisfactory;No;Yes;Yes;Low;Satisfactory;High;Low;Medium;Enrolled
2206;Ciencias Exactas;Yes;Basic;Yes;No;No;Very Low;Failure;Medium;Low;High;Dropout
2207;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Low;Low;Enrolled
2208;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Enrolled
2209;Ciencias Sociales;Yes;Basic;Yes;No;No;Very Low;Failure;Medium;Low;High;Dropout
2210;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
2211;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
2212;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
2213;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Dropout
2214;Ciencias Agrarias;Yes;Satisfactory;Yes;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
2215;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;High;Enrolled
2216;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;High;Graduate
2217;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Dropout
2218;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
2219;Diseno;Yes;Basic;Yes;Yes;No;Low;Satisfactory;High;High;Low;Graduate
2220;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;High;Low;Graduate
2221;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
2222;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Enrolled
2223;Diseno;Yes;Basic;No;No;No;Very Low;Failure;Low;Low;Very Low;Dropout
2224;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Medium;Medium;Medium;Graduate
2225;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Medium Low;Low Failure;Low;Medium;Medium;Dropout
2226;Diseno;Yes;Low Failure;Yes;Yes;No;Low;Basic;High;Low;Medium;Graduate
2227;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
2228;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;High;High;Low;Dropout
2229;Diseno;Yes;Basic;No;Yes;No;Very Low;Low Failure;Superior;Low;Low;Graduate
2230;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Medium;Low;High;Graduate
2231;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
2232;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Failure;Superior;Medium;Very Low;Dropout
2233;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
2234;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Enrolled
2235;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;High;Low;Medium;Graduate
2236;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Medium;Medium;Medium;Enrolled
2237;Ciencias Sociales;Yes;Basic;No;No;No;Very Low;Failure;Superior;Low;Low;Dropout
2238;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Enrolled
2239;Ciencias de la Salud;Yes;Basic;Yes;No;No;Very Low;Failure;Low;Medium;High;Enrolled
2240;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
2241;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Low Failure;Low;Medium;Medium;Enrolled
2242;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
2243;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
2244;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
2245;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
2246;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Enrolled
2247;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Failure;Low;Low;Very Low;Enrolled
2248;Ciencias Exactas;Yes;Basic;Yes;No;No;Very Low;Failure;High;Low;Medium;Dropout
2249;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
2250;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Dropout
2251;Diseno;Yes;Basic;Yes;Yes;No;Medium Low;Low Failure;High;Low;Medium;Dropout
2252;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Dropout
2253;Ciencias Exactas;Yes;Basic;No;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
2254;Ciencias Exactas;No;Basic;No;No;No;Very Low;Low Failure;High;High;Low;Dropout
2255;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Dropout
2256;Ciencias Exactas;Yes;Basic;Yes;No;No;Medium High;Basic;Medium;Low;High;Dropout
2257;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
2258;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;High;High;Low;Dropout
2259;Ciencias Sociales;No;Basic;No;Yes;No;Very Low;Basic;High;High;Low;Graduate
2260;Diseno;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Low;High;Enrolled
2261;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
2262;Ciencias Sociales;Yes;Satisfactory;No;Yes;No;Low;Basic;Superior;Medium;Very Low;Dropout
2263;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Satisfactory;Medium;Low;High;Dropout
2264;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Basic;Low;Medium;Medium;Enrolled
2265;Ciencias de la Salud;Yes;Low Failure;No;No;No;Low;Basic;Medium;Low;High;Enrolled
2266;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Basic;Superior;Medium;Very Low;Dropout
2267;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
2268;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Dropout
2269;Ciencias Exactas;No;Low Failure;No;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
2270;Ciencias Exactas;No;Basic;Yes;No;No;Very Low;Failure;Low;Medium;Medium;Dropout
2271;Diseno;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
2272;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
2273;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Dropout
2274;Diseno;Yes;Low Failure;No;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
2275;Ciencias Exactas;No;Basic;No;No;No;Very Low;Low Failure;Low;Medium;Medium;Dropout
2276;Ciencias Sociales;No;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
2277;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
2278;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Medium;Medium;Enrolled
2279;Ciencias Sociales;No;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Dropout
2280;Ciencias Agrarias;Yes;Basic;No;Yes;No;High;Basic;Superior;Medium;Very Low;Graduate
2281;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
2282;Ciencias Sociales;Yes;Basic;No;No;No;Low;Low Failure;Low;Medium;High;Dropout
2283;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
2284;Diseno;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Enrolled
2285;Ciencias Exactas;Yes;Basic;No;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
2286;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Low Failure;Superior;Medium;Very Low;Graduate
2287;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
2288;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Low Failure;Superior;Medium;Very Low;Enrolled
2289;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
2290;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Dropout
2291;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
2292;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Dropout
2293;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
2294;Diseno;Yes;Basic;No;No;No;Very Low;Failure;Low;Medium;Medium;Dropout
2295;Diseno;Yes;Basic;No;Yes;No;Low;Satisfactory;Medium;Low;High;Graduate
2296;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Failure;Superior;Low;Low;Dropout
2297;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Medium;Medium;Graduate
2298;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
2299;Ciencias Sociales;Yes;Basic;No;No;No;Very Low;Failure;Superior;Low;Low;Dropout
2300;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Enrolled
2301;Diseno;Yes;Basic;No;Yes;No;Very Low;Basic;Superior;Low;Low;Enrolled
2302;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Enrolled
2303;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
2304;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Failure;Medium;Low;High;Dropout
2305;Diseno;Yes;Low Failure;Yes;Yes;Yes;Very Low;Low Failure;Low;Medium;Medium;Enrolled
2306;Ciencias Agrarias;Yes;Basic;Yes;No;No;Very Low;Basic;High;High;Low;Dropout
2307;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
2308;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Failure;Medium;Medium;Medium;Dropout
2309;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Very Low;Basic;Low;Medium;High;Graduate
2310;Ciencias Sociales;Yes;Satisfactory;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
2311;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
2312;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Medium;Medium;Dropout
2313;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Medium;Medium;Medium;Graduate
2314;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
2315;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;High;High;Low;Dropout
2316;Ciencias Exactas;Yes;Basic;No;No;No;Low;Basic;Superior;Low;Low;Dropout
2317;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Failure;High;High;Low;Dropout
2318;Diseno;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
2319;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Superior;Low;Low;Graduate
2320;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;High;Dropout
2321;Diseno;Yes;Satisfactory;No;Yes;No;Low;Satisfactory;High;Low;Medium;Enrolled
2322;Ciencias Exactas;No;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Dropout
2323;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Enrolled
2324;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;High;Low;Graduate
2325;Ciencias Exactas;Yes;Low Failure;No;Yes;No;Low;Failure;Low;Medium;High;Dropout
2326;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Failure;Low;Medium;Medium;Enrolled
2327;Ciencias Exactas;No;Low Failure;Yes;No;No;Low;Low Failure;Low;Low;Very Low;Dropout
2328;Diseno;Yes;Satisfactory;Yes;Yes;Yes;Very Low;Failure;High;High;Low;Graduate
2329;Diseno;Yes;Low Failure;No;No;Yes;Very Low;Failure;Superior;Medium;Very Low;Dropout
2330;Ciencias Sociales;No;Low Failure;No;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
2331;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Failure;Superior;Low;Low;Dropout
2332;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
2333;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;Low;Low;Very Low;Dropout
2334;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
2335;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
2336;Ciencias Exactas;No;Low Failure;No;Yes;No;Very Low;Low Failure;Superior;Medium;Very Low;Dropout
2337;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
2338;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Medium;Low;High;Dropout
2339;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Enrolled
2340;Ciencias Agrarias;Yes;Low Failure;Yes;No;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
2341;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;Medium;Enrolled
2342;Ciencias Agrarias;Yes;Basic;No;Yes;No;Medium Low;Low Failure;Superior;Medium;Very Low;Graduate
2343;Ciencias Exactas;No;Low Failure;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
2344;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
2345;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Low;Medium;High;Graduate
2346;Diseno;Yes;Basic;No;Yes;No;Medium Low;Basic;High;Low;Medium;Enrolled
